id,title,start_datetime,end_datetime,event_type,unit,description
36,"[RG FAMILY] 시즌1 / 01화!",2026-01-20T05:00:00+00:00,,broadcast,,"대망의 첫 회! 직급전!"
37,"[RG FAMILY] 시즌1 / 02화!",2026-01-22T05:00:00+00:00,,broadcast,,"황금or벌금데이"
38,"[RG FAMILY] 시즌1 / 03화!",2026-01-24T05:00:00+00:00,,broadcast,,"퇴근전쟁"
39,"[RG FAMILY] 시즌1 / 04화!",2026-01-27T05:00:00+00:00,,broadcast,,"난사데이"
40,"[RG FAMILY] 시즌1 / 05화!",2026-01-29T05:00:00+00:00,,broadcast,,"명품데이
· 메이져 5명, 마이너 7명 경쟁"
41,"[RG FAMILY] 시즌1 / 06화!",2026-01-31T05:00:00+00:00,,broadcast,,"1vs1 데스매치"
42,"[RG FAMILY] 시즌1 / 07화!",2026-02-03T05:00:00+00:00,,broadcast,,"뉴시그데이 & 중간직급전"
43,"[RG FAMILY] 시즌1 / 08화!",2026-02-05T05:00:00+00:00,,broadcast,,"대표를 이겨라"
44,"[RG FAMILY] 시즌1 / 09화!",2026-02-07T05:00:00+00:00,,broadcast,,"주차방지데이"
45,"[RG FAMILY] 시즌1 / 10화!",2026-02-10T05:00:00+00:00,,broadcast,,"용병 데이_1"
46,"[RG FAMILY] 시즌1 / 11화!",2026-02-12T05:00:00+00:00,,broadcast,,"용병 데이_2"
47,"[RG FAMILY] 시즌1 / 12화!",2026-02-14T05:00:00+00:00,,broadcast,,"설날특집 도파민데이"
48,"설 연휴",2026-02-15T15:00:00+00:00,,休,,"휴방"
49,"설 연휴",2026-02-16T15:00:00+00:00,,休,,"휴방"
50,"설 연휴",2026-02-17T15:00:00+00:00,,休,,"휴방"
51,"[RG FAMILY] 시즌1 / 13화!",2026-02-19T05:00:00+00:00,,broadcast,,"팀 데스매치"
52,"[RG FAMILY] 시즌1 / 14화!",2026-02-21T05:00:00+00:00,,broadcast,,"기여도 전쟁"
53,"[RG FAMILY] 시즌1 / 15화!",2026-02-24T05:00:00+00:00,,broadcast,,"최종 직급전"
