rank,donor_name,total_amount,is_permanent_vip,updated_at
1,"미키™",366289,false,2026-01-23T09:42:14.853+00:00
2,"손밍매니아",274769,false,2026-01-23T09:42:14.854+00:00
3,"쩔어서짜다",185465,false,2026-01-23T09:42:14.854+00:00
4,"❥CaNnOt",176754,false,2026-01-23T09:42:14.854+00:00
5,"한세아내꺼♡호랭이",130191,false,2026-01-23T09:42:14.854+00:00
6,"까부는넌내꺼야119",90847,false,2026-01-23T09:42:14.854+00:00
7,"린아사단✨탱커",82342,false,2026-01-23T09:42:14.854+00:00
8,"[RG]✨린아의발굴™",72812,false,2026-01-23T09:42:14.854+00:00
9,"☀칰힌사주면천사☀",70588,false,2026-01-23T09:42:14.854+00:00
10,"Rearcar",67619,false,2026-01-23T09:42:14.854+00:00
11,"교미ෆ",61667,false,2026-01-23T09:42:14.854+00:00
12,"사랑해씌발™",57489,false,2026-01-23T09:42:14.854+00:00
13,"청아❤️머리크기빵빵이",57286,false,2026-01-23T09:42:14.854+00:00
14,"조패러갈꽈",57154,false,2026-01-23T09:42:14.854+00:00
15,"[Another]젖문가",55570,false,2026-01-23T09:42:14.854+00:00
16,"희영네개유오",50000,false,2026-01-23T09:42:14.854+00:00
17,"한세아♡백작♡하얀만두피",49523,false,2026-01-23T09:42:14.854+00:00
18,"시라☆구구단☆시우",48690,false,2026-01-23T09:42:14.854+00:00
19,"가윤이꼬❤️함주라",41379,false,2026-01-23T09:42:14.854+00:00
20,"미드굿♣️가애",36970,false,2026-01-23T09:42:14.854+00:00
21,"❤️지수ෆ해린❤️치토스㉦",36488,false,2026-01-23T09:42:14.854+00:00
22,"키르X머네로_",36312,false,2026-01-23T09:42:14.854+00:00
23,"김스껄",35218,false,2026-01-23T09:42:14.854+00:00
24,"내가바로원픽",34270,false,2026-01-23T09:42:14.854+00:00
25,"FA진스",30533,false,2026-01-23T09:42:14.854+00:00
26,"[RG]미드굿♣️가애",29580,false,2026-01-23T09:42:14.854+00:00
27,"홍서하네홍금보",29150,false,2026-01-23T09:42:14.854+00:00
28,"✨바위늪✨",29102,false,2026-01-23T09:42:14.854+00:00
29,"qldh라유",25670,false,2026-01-23T09:42:14.854+00:00
30,"이쁘면하트100개",25189,false,2026-01-23T09:42:14.854+00:00
31,"고다혜보다ღ국물",21311,false,2026-01-23T09:42:14.854+00:00
32,"양재동ღ젖문가⁀➷",20009,false,2026-01-23T09:42:14.854+00:00
33,"[RG]린아✨여행™",19032,false,2026-01-23T09:42:14.854+00:00
34,"갈색말티푸",17883,false,2026-01-23T09:42:14.854+00:00
35,"57774",16533,false,2026-01-23T09:42:14.854+00:00
36,"[SD]티모",14709,false,2026-01-23T09:42:14.854+00:00
37,"[로진]43세정영민",14432,false,2026-01-23T09:42:14.854+00:00
38,"이태린ෆ",14205,false,2026-01-23T09:42:14.854+00:00
39,"ෆ유은",13797,false,2026-01-23T09:42:14.854+00:00
40,"홍서하네❥페르소나™",13364,false,2026-01-23T09:42:14.854+00:00
41,"✧도루묵✧",12671,false,2026-01-23T09:42:14.854+00:00
42,"니니ღ",12095,false,2026-01-23T09:42:14.854+00:00
43,"말랑채이",12003,false,2026-01-23T09:42:14.854+00:00
44,"채은S2으악❤️",11866,false,2026-01-23T09:42:14.854+00:00
45,"♡시작",11682,false,2026-01-23T09:42:14.854+00:00
46,"퉁퉁퉁퉁퉁퉁사우르",11595,false,2026-01-23T09:42:14.854+00:00
47,"[RG]린아네☀둥그레",11381,false,2026-01-23T09:42:14.854+00:00
48,"풀묶™",11164,false,2026-01-23T09:42:14.854+00:00
49,"아름다운집",11018,false,2026-01-23T09:42:14.854+00:00
50,"미쯔✨",10673,false,2026-01-23T09:42:14.854+00:00
